日期／H,<0.5H,<1H,1-2H,2-3H,3-4H,4-5H,5-6H,6-7H,7-8H,8-9H,9-10H,10-11H,11-12H,12-13H,13-14H,14-15H,15-16H,16-17H,17-18H,18-19H,19-20H,20-21H,21-22H,22-23H,23-24H,>=24H,總計
2020/11/01,0,4,8,6,0,1,1,2,0,0,2,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,30
2020/11/02,9,7,7,3,3,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,36
2020/11/03,4,2,5,5,2,2,1,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,29
2020/11/04,10,2,10,5,2,1,0,1,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38
2020/11/05,3,9,8,2,1,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30
2020/11/06,3,6,12,6,2,2,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37
2020/11/07,1,3,9,10,5,1,2,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40
2020/11/08,4,2,7,7,4,3,2,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,2,37
2020/11/09,4,9,8,7,3,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,39
2020/11/10,2,9,8,2,2,1,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,32
2020/11/11,5,9,11,5,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38
2020/11/12,5,11,14,6,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44
2020/11/13,1,4,9,2,2,1,0,2,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
2020/11/14,3,7,13,5,3,0,2,2,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,2,43
2020/11/15,4,8,9,5,0,1,0,0,0,3,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,37
2020/11/16,7,6,8,3,2,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,34
2020/11/17,4,7,9,1,3,0,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,32
2020/11/18,7,6,10,5,2,3,0,0,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,41
2020/11/19,4,4,10,3,3,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2020/11/20,1,7,10,3,4,0,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36
2020/11/21,2,8,13,11,0,3,1,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,45
2020/11/22,2,4,8,9,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,29
2020/11/23,4,7,0,2,1,2,1,0,1,2,2,0,2,1,0,0,2,0,0,0,1,0,0,0,0,3,31
2020/11/24,9,11,8,2,3,1,1,1,1,1,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,45
2020/11/25,6,9,8,4,4,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
2020/11/26,4,11,9,5,1,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
2020/11/27,2,9,8,10,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
2020/11/28,4,7,20,15,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53
2020/11/29,1,0,11,7,0,0,1,3,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,31
2020/11/30,4,14,9,5,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,40
總計,119,202,279,161,62,28,21,25,22,33,35,20,16,14,8,6,5,8,6,1,5,5,2,2,1,21,1107
