日期／時間,0-1點,1-2點,2-3點,3-4點,4-5點,5-6點,6-7點,7-8點,8-9點,9-10點,10-11點,11-12點,12-13點,13-14點,14-15點,15-16點,16-17點,17-18點,18-19點,19-20點,20-21點,21-22點,22-23點,23-24點,總計
2021/02/01,1,0,0,0,0,0,0,1,5,1,4,10,5,4,2,4,2,3,4,5,2,2,1,0,56
2021/02/02,0,0,0,0,0,0,0,1,2,2,8,13,7,3,2,2,4,1,2,7,4,1,5,3,67
2021/02/03,2,0,1,0,1,0,1,2,2,8,5,13,3,6,4,4,2,1,6,5,1,3,3,0,73
2021/02/04,0,0,0,0,0,0,0,1,3,0,0,3,8,4,5,4,3,9,4,5,2,3,2,2,58
2021/02/05,4,0,0,0,2,1,1,4,8,4,7,9,3,6,2,3,3,4,9,5,3,1,1,0,80
2021/02/06,1,1,2,1,0,2,2,1,0,3,13,13,11,6,6,6,10,8,8,5,5,5,2,5,116
2021/02/07,0,0,2,0,0,0,1,0,0,12,1,8,6,6,4,5,7,2,5,5,6,3,1,1,75
2021/02/08,1,1,0,0,0,0,0,0,9,4,1,6,4,2,3,5,5,7,4,4,3,2,2,2,65
2021/02/09,1,1,1,0,0,0,0,1,3,7,3,8,3,9,7,5,6,6,2,6,3,5,0,1,78
2021/02/10,0,3,0,0,0,0,0,1,3,3,4,11,6,5,6,3,2,4,3,9,1,1,1,0,66
2021/02/11,1,0,0,0,0,0,0,1,4,3,9,11,8,4,3,9,8,13,4,5,4,4,3,1,95
2021/02/12,0,2,1,0,0,0,0,0,1,2,6,2,0,3,4,4,10,7,4,7,1,3,2,1,60
2021/02/13,0,1,0,0,0,0,0,3,3,4,9,22,9,6,5,10,6,14,6,3,5,0,0,0,106
2021/02/14,0,1,0,0,0,0,1,0,0,3,5,8,8,7,6,8,4,8,7,7,0,4,4,3,84
2021/02/15,5,1,1,0,0,2,0,3,0,2,4,7,4,5,9,5,4,4,6,7,7,3,3,0,82
2021/02/16,1,3,1,0,2,0,1,0,1,3,2,11,10,5,5,1,5,3,9,3,6,3,0,0,75
2021/02/17,1,0,0,0,2,0,0,1,9,4,6,3,9,1,4,4,3,5,6,4,6,1,1,1,71
2021/02/18,1,0,3,0,0,0,0,0,4,6,8,4,5,2,10,3,4,7,9,5,3,3,1,1,79
2021/02/19,0,1,0,0,0,1,0,0,5,2,4,8,7,6,5,3,1,1,4,0,2,2,3,0,55
2021/02/20,0,0,1,1,0,0,1,0,2,3,3,4,10,7,7,5,3,4,8,11,6,2,1,2,81
2021/02/21,1,0,0,1,0,0,1,0,1,8,10,12,10,7,4,7,1,8,4,3,3,1,2,1,85
2021/02/22,1,0,1,1,0,0,1,3,10,4,3,7,7,3,3,1,4,7,7,6,4,3,2,1,79
2021/02/23,1,0,1,0,1,0,1,1,11,6,2,3,8,5,8,2,4,2,4,5,3,1,2,1,72
2021/02/24,0,0,1,1,0,0,1,4,5,9,4,3,7,8,5,3,3,5,5,5,3,3,0,1,76
2021/02/25,1,1,0,0,0,1,0,3,6,8,9,4,4,5,2,6,5,2,3,9,5,4,1,0,79
2021/02/26,2,0,1,0,1,0,1,3,5,4,5,8,9,1,4,8,2,6,9,7,4,5,1,1,87
2021/02/27,1,1,0,0,0,0,0,1,4,7,8,9,12,11,8,6,7,10,8,8,4,2,1,3,111
2021/02/28,2,1,0,1,0,0,6,7,9,5,10,9,4,8,7,9,3,8,5,5,2,4,0,0,105
總計,28,18,17,6,9,7,19,42,115,127,153,229,187,145,140,135,121,159,155,156,98,74,45,31,2216
